X,Y,Z
457129.06,101786.57,330.59
451828.68,87086.49,693.3
448429.15,110286.87,801.48
459428.62,81086.24,717.98
457129.36,116186.75,360.91
492930.16,132085.94,409.51
546830.99,139484.74,261.03
496328.48,66485.4,812.97
503831.17,157386.09,425.8
505828.2,40485.22,366.87
494630.58,147886.27,820.17
495528.17,52285.59,506.71
545631.48,152484.63,811.36
502330.49,142085.94,519.15
505828.33,58285.35,763.06
539131.45,154785.0,447.09
521528.51,50785.02,140.95
549030.74,133284.57,296.07
517428.3,33284.96,203.77
521828.72,67184.91,709.03
539431.05,140784.87,490.91
548331.38,147684.61,429.73
455929.22,108586.66,368.02
387627.09,41686.79,0.0
414627.36,34686.4,146.12
408228.97,144688.24,1523.88
454729.6,124286.91,419.37
617531.05,153282.25,153.71
491228.47,67685.38,377.71
530228.55,60284.9,256.92
491928.12,53285.68,461.95
424829.23,134887.82,1268.45
443529.56,129887.27,462.98
444929.14,113986.94,492.47
424029.59,150588.16,1662.19
517528.47,54685.09,156.94
544031.47,152384.68,998.94
482530.35,144686.55,1068.55
543830.94,138884.86,279.16
515828.74,70185.0,224.24
403828.93,149088.44,1514.16
474429.56,115486.38,394.58
436228.4,83086.66,528.98
414227.64,59886.54,403.89
474929.83,128286.48,1286.74
532631.95,167885.04,580.41
404428.69,135988.15,1359.91
414627.47,46286.44,418.62
434828.68,98986.86,571.57
507431.09,153385.92,505.25
560031.06,140684.2,238.11
507230.58,139085.75,407.0
560031.67,157484.07,270.91
397628.7,147088.58,1189.11
465828.79,94086.25,290.13
547632.16,173584.7,332.67
465928.59,78386.04,523.52
499731.35,163486.29,566.79
397828.55,132188.27,1409.07
399128.95,154288.73,1146.77
468629.39,111686.47,302.66
466728.75,86886.21,318.46
469029.72,125386.64,464.48
467228.43,70685.9,700.3
586232.73,191483.07,325.29
399428.63,137288.33,1184.87
510928.34,52085.21,543.75
513730.93,146985.69,752.66
512528.57,65285.09,331.2
515030.44,131485.39,347.41
454229.58,123886.92,413.06
430627.85,56886.28,483.29
411829.03,143188.14,1106.07
430827.63,40486.19,615.05
452929.18,106986.71,607.37
534231.61,160485.17,314.76
572930.8,127583.91,286.61
391427.1,38386.72,0.31
478828.22,60685.72,935.17
564831.19,144483.99,250.73
524928.52,54985.02,127.35
564131.73,159083.92,260.16
478827.89,46385.69,1009.81
524428.81,68684.85,1124.7
499428.11,45285.46,517.36
525730.77,137985.21,595.11
385028.37,126888.4,1066.78
477230.26,141686.59,755.04
497628.22,58685.59,601.06
526631.5,153885.24,911.61
410127.46,48386.54,40.24
453029.03,99886.64,414.6
432528.7,100986.95,528.02
536431.77,163885.02,826.26
453028.64,84286.43,367.55
432829.08,116187.24,1020.18
411427.63,63986.64,368.97
554331.71,159484.31,328.26
512830.5,133885.48,367.29
554631.24,144084.43,251.64
511931.02,149585.76,859.09
468428.52,75785.93,568.39
504731.52,169186.15,1079.66
566132.26,172783.81,225.16
469528.75,90286.12,405.78
521031.82,163785.48,553.13
465129.79,129386.74,1577.84
540431.9,168484.88,445.12
395528.52,135488.43,1690.82
464029.36,113186.55,362.97
508328.6,67685.17,419.03
508328.32,54485.3,865.6
567230.7,124983.97,357.3
473828.62,79285.87,485.46
408427.32,38286.48,265.06
407128.69,133288.06,2057.07
413527.41,40786.46,312.57
436228.88,106687.0,649.53
407128.97,146288.29,1239.38
404327.43,50486.69,144.96
474728.91,93786.04,392.94
436629.19,123987.36,855.83
416129.04,139788.05,1044.85
413727.63,58386.53,411.14
517130.7,138685.47,1162.91
522530.43,130785.28,339.26
482627.82,47085.65,892.14
517331.31,152485.6,953.89
523231.13,148085.24,1409.93
482328.22,61685.65,478.87
553430.21,119084.31,338.76
515130.02,114285.19,335.96
551729.78,104384.4,208.0
513330.38,129585.42,294.41
401227.89,88787.26,68.7
400727.51,74787.04,231.48
467428.41,69685.89,586.77
499130.13,125385.7,423.38
526329.36,85584.83,166.15
527429.93,110384.88,517.85
499629.84,111585.56,380.62
524528.91,70684.86,897.94
528530.39,126485.08,343.81
411228.49,115887.63,791.7
430428.28,83886.69,998.14
433627.96,61686.28,615.46
573931.16,145783.64,216.2
434327.79,46586.19,464.83
607931.36,156082.48,160.64
410828.26,102287.38,763.68
430528.64,98786.94,723.96
572930.88,131383.87,291.43
587431.45,157383.12,180.22
472428.16,51785.77,830.37
473730.32,146886.75,853.32
406627.96,91987.12,1152.26
413028.57,121587.74,1765.41
435927.98,55686.21,487.64
438029.8,142087.63,939.92
406227.69,77586.98,347.94
471828.34,65485.85,985.52
587830.97,141783.21,214.21
474129.91,131786.52,1256.52
436027.7,41286.15,687.3
412928.43,109387.44,671.22
517730.0,112485.1,315.52
577732.33,179983.3,272.03
522229.52,93584.86,482.21
516429.31,87884.96,249.74
482929.73,118486.17,807.53
479728.71,82485.74,415.09
522629.15,77384.94,186.55
576331.8,165783.43,240.93
519930.24,125285.33,259.47
515728.76,70785.0,219.63
483829.28,103185.97,470.96
481629.08,96985.94,463.71
397028.36,115087.97,730.7
397928.51,128588.23,1971.46
461729.89,135986.83,1839.36
603631.52,159982.53,165.51
583232.16,177083.08,216.76
509929.29,89885.13,236.99
592331.81,169982.85,184.89
582931.66,162883.25,205.23
509728.86,75685.08,257.86
592732.47,185582.81,278.05
556729.76,100284.29,168.62
507828.71,71785.13,166.91
587431.66,163983.09,184.5
509330.2,125185.46,274.15
506829.17,87285.17,340.38
509829.9,111385.31,395.69
585332.26,179883.01,237.17
557230.33,122684.15,403.66
396227.5,78287.21,316.5
464129.85,132886.77,1782.42
461428.34,65285.92,873.38
463328.22,52185.88,906.37
397628.0,93587.39,608.49
519728.98,74584.97,240.9
524430.37,128085.2,370.26
575831.7,163383.46,206.06
481529.27,104086.02,512.63
522530.04,113784.97,470.73
518429.39,90084.93,354.01
574332.27,177283.41,225.57
543729.45,86984.54,147.51
480129.69,118786.26,557.69
406728.64,129488.06,1412.24
470929.91,134286.65,1682.54
437627.81,44886.13,430.0
412828.21,99787.31,1045.07
406928.43,113887.68,218.4
412127.93,84886.94,190.32
438628.07,58686.19,546.59
452427.97,42985.89,1117.04
430628.81,107887.12,568.1
569530.92,133783.93,235.88
432129.04,122287.44,927.34
