X,Y,Z
513729.18,84485.0,504.44
441727.73,39186.07,553.26
402828.28,104187.45,913.28
467530.09,142486.81,1534.41
401328.48,119487.93,1047.63
386028.48,136488.55,1845.45
499628.94,82485.28,348.71
561230.54,124784.07,710.15
527729.65,97184.8,357.3
581232.72,190183.25,382.21
525729.79,103484.81,661.84
498129.38,97485.5,703.7
582132.11,175483.13,210.99
526729.23,79484.84,168.0
524830.15,117385.06,737.13
433929.65,139487.72,541.5
431629.15,127887.55,1381.25
411727.78,73186.77,382.79
571431.52,157383.64,319.65
431529.02,114287.23,1561.17
411027.97,88487.01,1296.12
569731.08,142083.83,225.9
431028.57,93886.91,857.73
432127.84,52586.25,641.76
450127.81,37485.89,835.6
453729.78,133486.97,1303.94
432228.06,68086.39,712.6
431528.22,78986.6,935.01
527330.21,118984.99,402.23
527229.81,104184.78,895.88
597731.18,147882.75,321.15
465928.32,61485.91,1021.89
402627.67,80187.11,567.3
398428.4,115887.95,770.82
402328.07,96187.3,848.49
398628.17,101487.47,792.72
555729.32,85484.22,301.44
514030.12,121485.31,266.2
551830.45,126484.4,669.61
513929.86,107785.18,904.41
509729.04,82185.09,440.66
508430.01,116585.38,1105.47
592432.27,181482.77,378.77
508629.44,95685.18,528.01
506429.59,100485.27,755.06
592131.68,166082.86,184.38
461729.99,142386.92,1366.63
465728.28,58485.92,1008.96
398428.48,124488.14,1632.16
396628.25,106487.66,612.32
447027.74,36085.93,770.7
542630.23,115784.68,397.89
517730.12,120185.27,537.08
576131.97,169783.39,227.33
522329.27,82684.87,366.93
479828.87,88485.85,604.67
542729.73,102184.49,698.03
524029.72,100484.87,570.99
576532.51,184583.38,385.16
519929.82,104484.93,815.0
480228.59,76285.66,738.55
472628.31,59985.89,1194.13
406827.85,85487.09,228.37
414028.53,115487.53,1081.92
406428.12,98487.28,1174.87
438929.61,136487.51,562.78
411928.7,129687.97,1329.62
587431.73,166183.06,189.49
531430.5,129185.02,593.48
490629.4,103585.83,527.5
587932.2,179182.9,339.94
532730.06,114584.81,578.81
489029.95,121486.0,1072.89
447528.0,46485.93,1042.3
422928.44,97587.08,820.63
421328.16,85486.79,1040.46
447928.21,58486.08,1075.28
540129.16,76484.63,736.59
500130.18,127485.71,783.46
522029.01,73884.96,349.33
548529.98,109184.42,269.78
501329.79,109485.51,577.19
542129.53,94484.55,353.72
520829.46,91484.88,534.69
547130.34,121784.46,374.31
389327.41,78087.32,205.77
474928.37,70285.77,600.13
584330.83,137183.39,293.86
456829.83,133486.88,1842.27
584931.28,151883.23,311.65
477028.12,54285.71,1158.29
388527.8,94487.49,210.07
452128.09,46585.9,1402.39
589631.48,157483.03,179.37
427628.65,101987.06,955.86
427328.55,96586.97,880.86
391728.41,127488.37,1050.67
457429.86,136486.92,1546.79
429729.0,115487.3,1258.9
427228.16,81886.65,1209.68
591930.96,142383.04,279.85
452428.24,61586.02,1138.34
393328.25,111987.96,664.17
492929.69,109485.77,841.95
598032.7,189882.61,324.74
544629.69,100584.46,481.55
505128.96,78785.18,458.17
597432.04,174782.59,292.53
493930.06,124485.79,939.76
545730.21,116184.57,317.29
505029.37,94385.26,462.72
416628.32,103487.31,953.11
579730.82,133583.64,371.0
417828.69,121487.69,1618.03
441129.87,142787.51,2009.99
578531.28,150483.4,299.35
485429.18,98585.83,508.42
573332.02,169383.51,338.97
537929.12,74784.68,806.63
486128.81,82485.58,368.67
535729.5,91384.7,349.06
606531.88,173982.3,218.84
485829.93,124186.14,1496.63
537830.02,112484.65,626.23
535629.44,88084.7,220.87
484129.51,108985.96,855.28
536130.53,127484.88,432.7
534229.04,72684.79,946.18
418328.0,82486.77,301.94
420828.68,115787.49,1617.47
442428.23,64486.16,904.55
582831.2,148483.32,289.53
443028.0,49486.07,789.9
418428.26,96887.13,1061.08
